Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,12.609048,12.756059,12.601509,12.601509,10.747889,1337040
2011-01-04,12.703286,12.740981,12.315025,12.480884,10.645007,1812432
2011-01-05,12.428111,12.552505,12.420572,12.477114,10.641790,1655383
2011-01-06,12.428111,12.462036,12.250943,12.326333,10.513191,1590122
2011-01-07,12.394185,12.397954,12.168014,12.217017,10.419957,3920923
2011-01-10,12.190631,12.209478,11.994616,12.137857,10.352439,2041639
2011-01-11,12.205709,12.228326,12.149166,12.198170,10.403877,1459071
2011-01-12,12.250943,12.288638,12.194400,12.224556,10.426385,1467560
2011-01-13,12.273560,12.281099,12.134088,12.281099,10.474608,1534943
2011-01-14,12.281099,12.480884,12.243404,12.435650,10.606429,2342473
2011-01-18,12.333873,12.691977,12.333873,12.639204,10.780043,2879411
2011-01-19,12.620356,12.627895,12.371568,12.488423,10.651438,2568761
2011-01-20,12.416802,12.443189,12.269791,12.397954,10.574276,2175077
2011-01-21,12.431880,12.571352,12.424341,12.495962,10.657866,2014049
2011-01-24,12.390415,12.609048,12.386646,12.537427,10.693229,2495277
2011-01-25,12.495962,12.495962,12.232095,12.446958,10.616074,2303741
2011-01-26,12.484653,12.688207,12.480884,12.661821,10.799332,2110613
2011-01-27,12.367798,12.465806,12.303716,12.458267,10.625719,4479084
2011-01-28,12.401724,12.420572,12.171783,12.194400,10.441739,6285679
2011-01-31,12.273560,12.341412,12.232095,12.299947,10.532112,3628313
2011-02-01,12.356490,12.492192,12.352720,12.454497,10.664453,3604702
2011-02-02,12.492192,12.522349,12.450728,12.477114,10.683815,2521541
2011-02-03,12.488423,12.495962,12.428111,12.480884,10.687043,1530433
2011-02-04,12.529888,12.552505,12.458267,12.484653,10.690272,2113266
2011-02-07,12.544966,12.544966,12.435650,12.439419,10.651543,1955686
2011-02-08,12.446958,12.462036,12.356490,12.386646,10.606354,1711889
2011-02-09,12.356490,12.397954,12.254713,12.281099,10.515973,1680054
2011-02-10,12.243404,12.299947,12.168014,12.224556,10.467559,1801025
2011-02-11,12.190631,12.394185,12.168014,12.288638,10.522429,1742662
2011-02-14,12.284869,12.330103,12.258482,12.284869,10.519202,1018167
2011-02-15,12.288638,12.296177,12.175553,12.179322,10.428827,1902098
2011-02-16,12.232095,12.243404,12.036080,12.130318,10.386865,2857127
2011-02-17,12.190631,12.232095,12.134088,12.198170,10.444962,3040439
2011-02-18,12.409263,12.409263,12.228326,12.262252,10.499835,4963761
2011-02-22,12.243404,12.243404,11.964459,12.036080,10.306170,3352681
2011-02-23,11.983307,12.160475,11.960690,12.141627,10.396545,4118560
2011-02-24,12.186861,12.333873,12.107701,12.232095,10.474012,4041893
2011-02-25,12.247174,12.492192,12.247174,12.458267,10.667679,2993484
2011-02-28,12.541196,12.778676,12.537427,12.778676,10.942037,3836031
2011-03-01,12.740981,12.740981,12.284869,12.341412,10.567619,4199207
2011-03-02,12.322564,12.431880,12.183092,12.258482,10.496605,3262749
2011-03-03,12.288638,12.326333,12.047389,12.077545,10.341676,3819849
2011-03-04,12.122779,12.145396,11.813679,11.907917,10.196428,3452959
2011-03-07,11.960690,11.998385,11.809909,11.870221,10.164152,2654449
2011-03-08,11.892839,12.115240,11.824987,12.081315,10.344903,2478034
2011-03-09,12.024772,12.168014,11.938073,12.054928,10.322311,2042169
2011-03-10,11.971999,12.013463,11.749597,11.787292,10.093143,1884590
2011-03-11,11.674206,11.975768,11.674206,11.907917,10.196428,1637343
2011-03-14,11.806140,11.866452,11.670437,11.855143,10.151242,2434527
2011-03-15,11.459344,11.674206,11.308563,11.602585,9.934980,2877554
