Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,52.424511,52.455002,51.837524,52.020481,36.793823,9714599
2011-01-04,52.302540,52.302540,51.151440,51.746048,36.599735,12524193
2011-01-05,51.563091,51.669815,51.273411,51.494484,36.421799,12431712
2011-01-06,51.608829,51.685062,50.854137,51.052341,36.109062,10508889
2011-01-07,51.166687,51.479237,50.777905,51.159065,36.184559,7742453
2011-01-10,50.869385,51.151440,50.694050,50.983730,36.060535,6269180
2011-01-11,51.509731,52.020481,51.380135,51.967121,36.756092,9711320
2011-01-12,52.317783,52.592220,52.058598,52.363525,37.036461,6918517
2011-01-13,52.119583,52.363525,51.037094,51.273411,36.265423,14240410
2011-01-14,51.288658,51.707932,50.907501,51.624077,36.513454,9679443
2011-01-18,51.776543,52.096714,51.540222,51.906136,36.712959,7984216
2011-01-19,52.050976,52.058598,51.265789,51.662193,36.540424,7305758
2011-01-20,51.456367,51.517353,50.709297,51.235294,36.238472,11582721
2011-01-21,51.746048,51.814655,51.090454,51.578339,36.481098,12130000
2011-01-24,51.654572,52.028107,51.319153,51.913757,36.718338,12675836
2011-01-25,51.814655,51.913757,50.823647,51.441120,36.384052,11129497
2011-01-26,51.868019,53.217319,51.517353,52.790421,37.338394,14982490
2011-01-27,52.912392,53.148708,52.462627,52.897144,37.413895,13330551
2011-01-28,53.148708,54.589489,53.102970,53.789055,38.044731,23741449
2011-01-31,54.345547,54.688591,53.743317,54.475140,38.529995,20863773
2011-02-01,54.597111,54.894417,54.520882,54.665722,38.664783,15245635
2011-02-02,54.612358,55.382298,54.429401,54.970646,38.880459,9492251
2011-02-03,54.985893,54.985893,54.223576,54.909660,38.837334,13144408
2011-02-04,54.902039,55.077370,54.345547,54.635227,38.643223,13540963
2011-02-07,54.665722,55.306065,54.665722,55.107864,38.977524,12774745
2011-02-08,55.077370,55.145981,54.612358,54.886791,38.821156,6220382
2011-02-09,54.673344,54.696213,53.644215,53.865288,38.098644,11847834
2011-02-10,53.438393,53.705200,53.209698,53.423145,37.785927,14924771
